name,layout,ruling_date,ruling_text
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,The words “revealed this way” were inadvertently omitted from the printed card. Alrund’s current Oracle text appears above.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"Alrund’s first ability applies only while Alrund is on the battlefield. In every other zone, Alrund is 1/1."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"You may choose any card type, but the ones that may appear in your library are artifact, creature, enchantment, instant, land, planeswalker, sorcery, and tribal (a card type found on some older cards). Supertypes such as snow and basic may not be chosen. "
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,There is a single triangle icon in the top left corner of the front face. There is a double triangle icon in the top left corner of the back face.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"To determine whether it is legal to play a modal double-faced card, consider only the characteristics of the face you’re playing and ignore the other face’s characteristics."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect allows you to play a specific modal double-faced card, you may cast it as a spell or play it as a land, as determined by which face you choose to play. If an effect allows you to cast (rather than “play”) a specific modal double-faced card, y"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect allows you to play a land or cast a spell from among a group of cards, you may play or cast a modal double-faced card with any face that fits the criteria of that effect."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"The converted mana cost of a modal double-faced card is based on the characteristics of the face that’s being considered. On the stack and battlefield, consider whichever face is up. In all other zones, consider only the front face. This is different than"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,A modal double-faced card can’t be transformed or be put onto the battlefield transformed. Ignore any instruction to transform a modal double-faced card or to put one onto the battlefield transformed.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect puts a double-faced card onto the battlefield, it enters with its front face up. If that front face can’t be put onto the battlefield, it doesn’t enter the battlefield."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"If an effect instructs a player to choose a card name, the name of either face may be chosen. If that effect or a linked ability refers to a spell with the chosen name being cast and/or a land with the chosen name being played, it considers only the chose"
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"In the Commander variant, a double-faced card’s color identity is determined by the mana costs and mana symbols in the rules text of both faces combined. If either face has a color indicator or basic land type, those are also considered."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,The words “revealed this way” were inadvertently omitted from the printed card. Alrund’s current Oracle text appears above.
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"Alrund’s first ability applies only while Alrund is on the battlefield. In every other zone, Alrund is 1/1."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",modal_dfc,2021-02-05,"You may choose any card type, but the ones that may appear in your library are artifact, creature, enchantment, instant, land, planeswalker, sorcery, and tribal (a card type found on some older cards). Supertypes such as snow and basic may not be chosen. "
